Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
----------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.2 (lin64) Build 3064766 Wed Nov 18 09:12:47 MST 2020
| Date         : Mon Oct 18 13:11:02 2021
| Host         : parallels-Parallels-Virtual-Platform running 64-bit Ubuntu 20.04.3 LTS
| Command      : report_utilization -hierarchical -file Desktop/PicoRV/ENGG4811_code/demo/multicast_32_flow.txt
| Design       : board_top
| Device       : 7a100tcsg324-1
| Design State : Physopt postRoute
----------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------------------------------------------------------------------------------+------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                                             Instance                                            |                  Module                  | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
+-------------------------------------------------------------------------------------------------+------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
| board_top                                                                                       |                                    (top) |      19068 |       8824 |   10244 |    0 | 6075 |     10 |      0 |         16 |
|   (board_top)                                                                                   |                                    (top) |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|   DIVIDER                                                                                       |                            clock_divider |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     inst                                                                                        |      clock_divider_clock_divider_clk_wiz |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|   FOX_TOP                                                                                       |                                      top |      19068 |       8824 |   10244 |    0 | 6075 |     10 |      0 |         16 |
|     NETWORK_ROW_GEN[0].MULTICAST_ROUTER_GEN.MULTICAST_ROUTER                                    |                    multicast_router_node |        226 |        146 |      80 |    0 |  247 |      0 |      0 |          0 |
|       (NETWORK_ROW_GEN[0].MULTICAST_ROUTER_GEN.MULTICAST_ROUTER)                                |                    multicast_router_node |          1 |          1 |       0 |    0 |  122 |      0 |      0 |          0 |
|       BUFFER_GEN[0].BUFFER_FIFO                                                                 |                     fifo_sync_wrapper_23 |        113 |         73 |      40 |    0 |   34 |      0 |      0 |          0 |
|         UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                               |                             fifo_sync_26 |        113 |         73 |      40 |    0 |   34 |      0 |      0 |          0 |
|       BUFFER_GEN[1].BUFFER_FIFO                                                                 |                     fifo_sync_wrapper_24 |         83 |         43 |      40 |    0 |   34 |      0 |      0 |          0 |
|         UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                               |                             fifo_sync_25 |         83 |         43 |      40 |    0 |   34 |      0 |      0 |          0 |
|       ROUTER                                                                                    |                         multicast_router |         29 |         29 |       0 |    0 |   57 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[0].NETWORK_COL_GEN[0].FOX_NETWORK_GEN.RESULT_GEN.RESULT_NODE_INITIALISE     |                              result_node |       5690 |       2338 |    3352 |    0 | 1538 |      8 |      0 |          4 |
|       (NETWORK_ROW_GEN[0].NETWORK_COL_GEN[0].FOX_NETWORK_GEN.RESULT_GEN.RESULT_NODE_INITIALISE) |                              result_node |        272 |        272 |       0 |    0 |    0 |      0 |      0 |          0 |
|       ENABLE_UART_GEN.BUFFERED_UART                                                             |                         UART_tx_buffered |         97 |         97 |       0 |    0 |   82 |      8 |      0 |          0 |
|         UART_BUFFER                                                                             |                fifo_sync__parameterized5 |         54 |         54 |       0 |    0 |   62 |      8 |      0 |          0 |
