Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.2 (lin64) Build 3064766 Wed Nov 18 09:12:47 MST 2020
| Date         : Mon Oct 11 16:28:38 2021
| Host         : parallels-Parallels-Virtual-Platform running 64-bit Ubuntu 20.04.3 LTS
| Command      : report_utilization -hierarchical -file /home/parallels/Desktop/PicoRV/ENGG4811_code/demo/utilisation/multicast/multicast_8.txt
| Design       : board_top
| Device       : 7a100tcsg324-1
| Design State : Routed
------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------------------------------------------------------------------------------+------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                                             Instance                                            |                  Module                  | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
+-------------------------------------------------------------------------------------------------+------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
| board_top                                                                                       |                                    (top) |      12927 |       8087 |    4840 |    0 | 5896 |      0 |      1 |         16 |
|   (board_top)                                                                                   |                                    (top) |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|   DIVIDER                                                                                       |                            clock_divider |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     inst                                                                                        |      clock_divider_clock_divider_clk_wiz |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|   FOX_TOP                                                                                       |                                      top |      12927 |       8087 |    4840 |    0 | 5896 |      0 |      1 |         16 |
|     (FOX_TOP)                                                                                   |                                      top |        160 |          0 |     160 |    0 |    0 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[0].MULTICAST_ROUTER_GEN.MULTICAST_ROUTER                                    |                    multicast_router_node |        239 |        159 |      80 |    0 |  250 |      0 |      0 |          0 |
|       (NETWORK_ROW_GEN[0].MULTICAST_ROUTER_GEN.MULTICAST_ROUTER)                                |                    multicast_router_node |          2 |          2 |       0 |    0 |  122 |      0 |      0 |          0 |
|       BUFFER_GEN[0].BUFFER_FIFO                                                                 |                     fifo_sync_wrapper_23 |        114 |         74 |      40 |    0 |   34 |      0 |      0 |          0 |
|         UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                               |                             fifo_sync_26 |        114 |         74 |      40 |    0 |   34 |      0 |      0 |          0 |
|       BUFFER_GEN[1].BUFFER_FIFO                                                                 |                     fifo_sync_wrapper_24 |         85 |         45 |      40 |    0 |   34 |      0 |      0 |          0 |
|         UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                               |                             fifo_sync_25 |         85 |         45 |      40 |    0 |   34 |      0 |      0 |          0 |
|       ROUTER                                                                                    |                         multicast_router |         38 |         38 |       0 |    0 |   60 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[0].NETWORK_COL_GEN[0].FOX_NETWORK_GEN.RESULT_GEN.RESULT_NODE_INITIALISE     |                              result_node |       3370 |       2182 |    1188 |    0 | 1466 |      0 |      1 |          4 |
|       (NETWORK_ROW_GEN[0].NETWORK_COL_GEN[0].FOX_NETWORK_GEN.RESULT_GEN.RESULT_NODE_INITIALISE) |                              result_node |        190 |        190 |       0 |    0 |    0 |      0 |      0 |          0 |
|       ENABLE_UART_GEN.BUFFERED_UART                                                             |                         UART_tx_buffered |         65 |         65 |       0 |    0 |   72 |      0 |      1 |          0 |
|         UART_BUFFER                                                                             |                fifo_sync__parameterized5 |         20 |         20 |       0 |    0 |   52 |      0 |      1 |          0 |
|         UART_INITIALISE                                                                         |                                     UART |         46 |         46 |       0 |    0 |   20 |      0 |      0 |          0 |
|           os_clk_divider_i                                                                      |                             UART_CLK_DIV |          3 |          3 |       0 |    0 |    6 |      0 |      0 |          0 |
|           uart_tx_i                                                                             |                                  UART_TX |         43 |         43 |       0 |    0 |   14 |      0 |      0 |          0 |
|             (uart_tx_i)                                                                         |                                  UART_TX |         36 |         36 |       0 |    0 |    9 |      0 |      0 |          0 |
|             tx_clk_divider_i                                                                    |             UART_CLK_DIV__parameterized3 |          7 |          7 |       0 |    0 |    5 |      0 |      0 |          0 |
|       FOX_NODE_INITIALISE                                                                       |                                 fox_node |       3209 |       2021 |    1188 |    0 | 1394 |      0 |      0 |          4 |
|         ENCODER                                                                                 |                       message_encoder_19 |          2 |          2 |       0 |    0 |   56 |      0 |      0 |          0 |
|         NIC                                                                                     |                                 nic_dual |        232 |        116 |     116 |    0 |  194 |      0 |      0 |          0 |
|           (NIC)                                                                                 |                                 nic_dual |          0 |          0 |       0 |    0 |  114 |      0 |      0 |          0 |
|           NETWORK_TO_PE_FIFO                                                                    |        fifo_sync_wrapper__parameterized4 |        134 |         58 |      76 |    0 |   44 |      0 |      0 |          0 |
|             UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                           |                fifo_sync__parameterized3 |        134 |         58 |      76 |    0 |   44 |      0 |      0 |          0 |
|           PE_TO_NETWORK_FIFO                                                                    |     fifo_sync_wrapper__parameterized2_21 |         98 |         58 |      40 |    0 |   36 |      0 |      0 |          0 |
|             UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                           |             fifo_sync__parameterized1_22 |         98 |         58 |      40 |    0 |   36 |      0 |      0 |          0 |
|         PE                                                                                      |                                   system |       2819 |       1747 |    1072 |    0 |  907 |      0 |      0 |          4 |
|           (PE)                                                                                  |                                   system |       1042 |         18 |    1024 |    0 |  108 |      0 |      0 |          0 |
|           picorv32_core                                                                         |                                 picorv32 |       1777 |       1729 |      48 |    0 |  799 |      0 |      0 |          4 |
|             (picorv32_core)                                                                     |                                 picorv32 |       1201 |       1153 |      48 |    0 |  562 |      0 |      0 |          0 |
|             pcpi_div                                                                            |                        picorv32_pcpi_div |        373 |        373 |       0 |    0 |  200 |      0 |      0 |          0 |
|             pcpi_mul                                                                            |                picorv32_pcpi_fast_mul_20 |        211 |        211 |       0 |    0 |   37 |      0 |      0 |          4 |
|         ROUTER                                                                                  |                 hoplite_router_multicast |        158 |        158 |       0 |    0 |  237 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[0].NETWORK_COL_GEN[1].FOX_NETWORK_GEN.FOX_GEN.FOX_NODE_INITIALISE           |                 fox_node__parameterized1 |       2929 |       1777 |    1152 |    0 | 1189 |      0 |      0 |          4 |
|       ENCODER                                                                                   |                          message_encoder |          2 |          2 |       0 |    0 |   56 |      0 |      0 |          0 |
|       NIC                                                                                       |              nic_dual__parameterized1_12 |        192 |        112 |      80 |    0 |  195 |      0 |      0 |          0 |
|         (NIC)                                                                                   |              nic_dual__parameterized1_12 |          0 |          0 |       0 |    0 |  117 |      0 |      0 |          0 |
|         NETWORK_TO_PE_FIFO                                                                      |     fifo_sync_wrapper__parameterized6_15 |         96 |         56 |      40 |    0 |   42 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |             fifo_sync__parameterized7_18 |         96 |         56 |      40 |    0 |   42 |      0 |      0 |          0 |
|         PE_TO_NETWORK_FIFO                                                                      |     fifo_sync_wrapper__parameterized2_16 |         96 |         56 |      40 |    0 |   36 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |             fifo_sync__parameterized1_17 |         96 |         56 |      40 |    0 |   36 |      0 |      0 |          0 |
|       PE                                                                                        |                   system__parameterized1 |       2552 |       1480 |    1072 |    0 |  698 |      0 |      0 |          4 |
|         (PE)                                                                                    |                   system__parameterized1 |       1045 |         21 |    1024 |    0 |   99 |      0 |      0 |          0 |
|         picorv32_core                                                                           |              picorv32__parameterized0_13 |       1507 |       1459 |      48 |    0 |  599 |      0 |      0 |          4 |
|           (picorv32_core)                                                                       |              picorv32__parameterized0_13 |       1287 |       1239 |      48 |    0 |  562 |      0 |      0 |          0 |
|           pcpi_mul                                                                              |                picorv32_pcpi_fast_mul_14 |        226 |        226 |       0 |    0 |   37 |      0 |      0 |          4 |
|       ROUTER                                                                                    | hoplite_router_multicast__parameterized1 |        185 |        185 |       0 |    0 |  240 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[1].MULTICAST_ROUTER_GEN.MULTICAST_ROUTER                                    |    multicast_router_node__parameterized1 |        255 |        175 |      80 |    0 |  250 |      0 |      0 |          0 |
