Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
--------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.2 (lin64) Build 3064766 Wed Nov 18 09:12:47 MST 2020
| Date         : Mon Oct 11 16:40:53 2021
| Host         : parallels-Parallels-Virtual-Platform running 64-bit Ubuntu 20.04.3 LTS
| Command      : report_utilization -hierarchical -file /home/parallels/Desktop/PicoRV/ENGG4811_code/demo/utilisation/unicast/unicast_8.txt
| Design       : board_top
| Device       : 7a100tcsg324-1
| Design State : Routed
--------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------------------------------------------+--------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                                           Instance                                          |                Module                | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
+---------------------------------------------------------------------------------------------+--------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
| board_top                                                                                   |                                (top) |      12149 |       7473 |    4676 |    0 | 5118 |      0 |      1 |         16 |
|   (board_top)                                                                               |                                (top) |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|   DIVIDER                                                                                   |                        clock_divider |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     inst                                                                                    |  clock_divider_clock_divider_clk_wiz |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|   FOX_TOP                                                                                   |                                  top |      12149 |       7473 |    4676 |    0 | 5118 |      0 |      1 |         16 |
|     (FOX_TOP)                                                                               |                                  top |        160 |          0 |     160 |    0 |    0 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[0].NETWORK_COL_GEN[0].FOX_NETWORK_GEN.RESULT_GEN.RESULT_NODE_INITIALISE |                          result_node |       3309 |       2125 |    1184 |    0 | 1398 |      0 |      1 |          4 |
|       ENABLE_UART_GEN.BUFFERED_UART                                                         |                     UART_tx_buffered |         85 |         85 |       0 |    0 |   72 |      0 |      1 |          0 |
|         UART_BUFFER                                                                         |            fifo_sync__parameterized3 |         68 |         68 |       0 |    0 |   52 |      0 |      1 |          0 |
|         UART_INITIALISE                                                                     |                                 UART |         48 |         48 |       0 |    0 |   20 |      0 |      0 |          0 |
